id,nombre,texto,nombre_en,texto_en
shared-rule.burn-the-witch,¡Quemad a la Bruja!,El Capitán cazador de brujas está sujeto a Odio contra todos los modelos capaces de lanzar hechizos.,Burn the Witch!,The Witch Hunter Captain is subject to Hatred against all models that can cast spells.
shared-rule.burn-the-witch-2,¡Quemad a la Bruja!,Los Cazadores de brujas están sujetos a Odio contra todos los modelos capaces de lanzar hechizos.,Burn the Witch!,Witch Hunters are subject to Hatred against all models that can cast spells.
shared-rule.animal,Animal,Las Ratas gigantes son animales y nunca ganan Experiencia.,Animal,Giant Rats are animals and never gain Experience.
shared-rule.animal-2,Animal,Los Escorpiones de tumba son animales y nunca ganan Experiencia.,Animal,Tomb Scorpions are animals and never gain Experience.
shared-rule.animals,Animales,"Los Squigs de Cueva son, en cierto modo, animales y por tanto no ganan experiencia.",Animals,Cave Squigs are animals of a sort and so do not gain experience.
shared-rule.animals-2,Animales,Los sabuesos de guerra son animales y por tanto no ganan experiencia.,Animals,Warhounds are animals and thus do not gain experience.
shared-rule.animals-3,Animales,Los lobos son animales y por tanto no ganan experiencia.,Animals,Wolves are animals and thus do not gain experience.
shared-rule.cause-fear-2,Causan Miedo,Todos los guerreros con la regla especial No muerto causan Miedo.,Cause Fear,All warriors with the Undead special rule cause Fear.
shared-rule.fear-3,Causan Miedo,Los Lobos dire causan Miedo.,Cause Fear,Dire Wolves cause Fear.
shared-rule.fear-4,Causan Miedo,Los Ghouls causan Miedo.,Cause Fear,Ghouls cause Fear.
shared-rule.fear-6,Causan Miedo,Los Zombis son abominaciones horribles y por tanto provocan miedo.,Cause Fear,Zombies are horrible abominations and so cause fear.
shared-rule.ard-ead,Cráneo Grueso,"El guerrero tiene el cráneo grueso incluso para ser un orco. Tiene una salvación especial de 3+ con 1D6 para evitar ser aturdido. Si supera la salvación, trata un resultado de aturdido como derribado. Si el orco además lleva yelmo, esta salvación es de 2+ en lugar de 3+ (esto sustituye a la regla especial normal del yelmo).",’Ard Ead,"The warrior has a thick skull even for an Orc. He has a special 3+ save on a D6 to avoid being stunned. If the save is made, treat a stunned result as knocked down instead. If the Orc also wears a helmet, this save is 2+ instead of 3+ (this takes the place of the normal helmet special rule)."
shared-rule.thick-skull,Cráneo Grueso,"El Héroe tiene un cráneo grueso, incluso para un enano. Tiene una salvación de 3+ en un D6 para evitar quedar Aturdido. Si supera la salvación, trata un resultado de Aturdido como Derribado en su lugar. Si el enano además lleva casco, esta salvación es 2+ en lugar de 3+ (esto sustituye a la regla especial normal de Casco).",Thick Skull,"The Hero has a thick skull, even for a Dwarf. He has a 3+ save on a D6 to avoid being stunned. If the save is made, treat a stunned result as knocked down instead. If the Dwarf also wears a helmet, this save is 2+ instead of 3+ (this takes the place of the normal Helmet special rule)."
shared-rule.stupidity,Estupidez,"El Ogro rata está sujeto a Estupidez a menos que haya un Héroe skaven a 6"" de él.",Stupidity,"The Rat Ogre is subject to Stupidity unless a Skaven Hero is within 6""."
shared-rule.stupidity-2,Estupidez,Un troll está sujeto a las reglas de estupidez.,Stupidity,A Troll is subject to the rules for stupidity.
